phase,dimension,score_0_to_3,priority,recommended_action
"Phase 1","AI as metacognitive coach","0","high","Shift AI tasks toward planning, reflection, and revision prompts."
"Phase 1","Capability/transfer portfolio evidence","0","high","Add one transfer artifact per phase to capability portfolio."
"Phase 1","Co-assessment alignment","0","high","Run fortnightly self-vs-tutor score calibration and document misalignment actions."
"Phase 1","Continuation readiness","0","high","Add independent continuation plan milestone at end of each phase."
"Phase 1","Double-loop reflection","0","high","Require 80-120 word double-loop reflection in every cycle."
"Phase 1","Fairness safeguards active","0","high","Tighten moderation checks and verify common standards across pathways."
"Phase 1","Learner choice in inquiry/output mode","0","high","Add one bounded learner-choice task per 2-week cycle."
"Phase 1","Learner contract and negotiated goals","0","high","Make learner contract mandatory in ILP and review it weekly."
"Phase 1","Pathway flexibility and opt-up access","0","high","Ensure explicit opt-up pathway opportunities each cycle."
"Phase 1","Self-determined evidence pathways","0","high","Require students to justify their evidence pathway in submissions."
"Phase 2","AI as metacognitive coach","0","high","Shift AI tasks toward planning, reflection, and revision prompts."
"Phase 2","Capability/transfer portfolio evidence","0","high","Add one transfer artifact per phase to capability portfolio."
"Phase 2","Co-assessment alignment","0","high","Run fortnightly self-vs-tutor score calibration and document misalignment actions."
"Phase 2","Continuation readiness","0","high","Add independent continuation plan milestone at end of each phase."
"Phase 2","Double-loop reflection","0","high","Require 80-120 word double-loop reflection in every cycle."
"Phase 2","Fairness safeguards active","0","high","Tighten moderation checks and verify common standards across pathways."
"Phase 2","Learner choice in inquiry/output mode","0","high","Add one bounded learner-choice task per 2-week cycle."
"Phase 2","Learner contract and negotiated goals","0","high","Make learner contract mandatory in ILP and review it weekly."
"Phase 2","Pathway flexibility and opt-up access","0","high","Ensure explicit opt-up pathway opportunities each cycle."
"Phase 2","Self-determined evidence pathways","0","high","Require students to justify their evidence pathway in submissions."
"Phase 3","AI as metacognitive coach","0","high","Shift AI tasks toward planning, reflection, and revision prompts."
"Phase 3","Capability/transfer portfolio evidence","0","high","Add one transfer artifact per phase to capability portfolio."
"Phase 3","Co-assessment alignment","0","high","Run fortnightly self-vs-tutor score calibration and document misalignment actions."
"Phase 3","Continuation readiness","0","high","Add independent continuation plan milestone at end of each phase."
"Phase 3","Double-loop reflection","0","high","Require 80-120 word double-loop reflection in every cycle."
"Phase 3","Fairness safeguards active","0","high","Tighten moderation checks and verify common standards across pathways."
"Phase 3","Learner choice in inquiry/output mode","0","high","Add one bounded learner-choice task per 2-week cycle."
"Phase 3","Learner contract and negotiated goals","0","high","Make learner contract mandatory in ILP and review it weekly."
"Phase 3","Pathway flexibility and opt-up access","0","high","Ensure explicit opt-up pathway opportunities each cycle."
"Phase 3","Self-determined evidence pathways","0","high","Require students to justify their evidence pathway in submissions."
"Phase 4","AI as metacognitive coach","0","high","Shift AI tasks toward planning, reflection, and revision prompts."
"Phase 4","Capability/transfer portfolio evidence","0","high","Add one transfer artifact per phase to capability portfolio."
"Phase 4","Co-assessment alignment","0","high","Run fortnightly self-vs-tutor score calibration and document misalignment actions."
"Phase 4","Continuation readiness","0","high","Add independent continuation plan milestone at end of each phase."
"Phase 4","Double-loop reflection","0","high","Require 80-120 word double-loop reflection in every cycle."
"Phase 4","Fairness safeguards active","0","high","Tighten moderation checks and verify common standards across pathways."
"Phase 4","Learner choice in inquiry/output mode","0","high","Add one bounded learner-choice task per 2-week cycle."
"Phase 4","Learner contract and negotiated goals","0","high","Make learner contract mandatory in ILP and review it weekly."
"Phase 4","Pathway flexibility and opt-up access","0","high","Ensure explicit opt-up pathway opportunities each cycle."
"Phase 4","Self-determined evidence pathways","0","high","Require students to justify their evidence pathway in submissions."
"Phase 5","AI as metacognitive coach","0","high","Shift AI tasks toward planning, reflection, and revision prompts."
"Phase 5","Capability/transfer portfolio evidence","0","high","Add one transfer artifact per phase to capability portfolio."
"Phase 5","Co-assessment alignment","0","high","Run fortnightly self-vs-tutor score calibration and document misalignment actions."
"Phase 5","Continuation readiness","0","high","Add independent continuation plan milestone at end of each phase."
"Phase 5","Double-loop reflection","0","high","Require 80-120 word double-loop reflection in every cycle."
"Phase 5","Fairness safeguards active","0","high","Tighten moderation checks and verify common standards across pathways."
"Phase 5","Learner choice in inquiry/output mode","0","high","Add one bounded learner-choice task per 2-week cycle."
"Phase 5","Learner contract and negotiated goals","0","high","Make learner contract mandatory in ILP and review it weekly."
"Phase 5","Pathway flexibility and opt-up access","0","high","Ensure explicit opt-up pathway opportunities each cycle."
"Phase 5","Self-determined evidence pathways","0","high","Require students to justify their evidence pathway in submissions."
