phase,dimension,score_0_to_3,evidence_observed,gap,action_next_cycle
Phase 1,Learner contract and negotiated goals,,,,
Phase 1,Learner choice in inquiry/output mode,,,,
Phase 1,Self-determined evidence pathways,,,,
Phase 1,Double-loop reflection,,,,
Phase 1,Capability/transfer portfolio evidence,,,,
Phase 1,Co-assessment alignment,,,,
Phase 1,Pathway flexibility and opt-up access,,,,
Phase 1,AI as metacognitive coach,,,,
Phase 1,Fairness safeguards active,,,,
Phase 1,Continuation readiness,,,,
Phase 2,Learner contract and negotiated goals,,,,
Phase 2,Learner choice in inquiry/output mode,,,,
Phase 2,Self-determined evidence pathways,,,,
Phase 2,Double-loop reflection,,,,
Phase 2,Capability/transfer portfolio evidence,,,,
Phase 2,Co-assessment alignment,,,,
Phase 2,Pathway flexibility and opt-up access,,,,
Phase 2,AI as metacognitive coach,,,,
Phase 2,Fairness safeguards active,,,,
Phase 2,Continuation readiness,,,,
Phase 3,Learner contract and negotiated goals,,,,
Phase 3,Learner choice in inquiry/output mode,,,,
Phase 3,Self-determined evidence pathways,,,,
Phase 3,Double-loop reflection,,,,
Phase 3,Capability/transfer portfolio evidence,,,,
Phase 3,Co-assessment alignment,,,,
Phase 3,Pathway flexibility and opt-up access,,,,
Phase 3,AI as metacognitive coach,,,,
Phase 3,Fairness safeguards active,,,,
Phase 3,Continuation readiness,,,,
Phase 4,Learner contract and negotiated goals,,,,
Phase 4,Learner choice in inquiry/output mode,,,,
Phase 4,Self-determined evidence pathways,,,,
Phase 4,Double-loop reflection,,,,
Phase 4,Capability/transfer portfolio evidence,,,,
Phase 4,Co-assessment alignment,,,,
Phase 4,Pathway flexibility and opt-up access,,,,
Phase 4,AI as metacognitive coach,,,,
Phase 4,Fairness safeguards active,,,,
Phase 4,Continuation readiness,,,,
Phase 5,Learner contract and negotiated goals,,,,
Phase 5,Learner choice in inquiry/output mode,,,,
Phase 5,Self-determined evidence pathways,,,,
Phase 5,Double-loop reflection,,,,
Phase 5,Capability/transfer portfolio evidence,,,,
Phase 5,Co-assessment alignment,,,,
Phase 5,Pathway flexibility and opt-up access,,,,
Phase 5,AI as metacognitive coach,,,,
Phase 5,Fairness safeguards active,,,,
Phase 5,Continuation readiness,,,,
