objective_id,objective_description,pathway_level,resource_id,resource_title,resource_type,phase,matched_skill_tags,adaptation_instruction,evidence_output,implicit_soft_skills,challenge_level,implementation_priority
"p1.read.critical_media","Read and interpret digital/media claims critically","supported","r002","Active Reading Strategies — OWL Purdue","article","1","critical_reading","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","critical judgement|self-management","high scaffold / moderate cognitive load","high"
"p1.read.critical_media","Read and interpret digital/media claims critically","supported","r001","How to Read Academic Texts Strategically","video","1","critical_reading","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","critical judgement|self-management","high scaffold / moderate cognitive load","high"
"p1.read.critical_media","Read and interpret digital/media claims critically","supported","r003","Critical Reading vs. Passive Reading","article","1","critical_reading","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","critical judgement|self-management","high scaffold / moderate cognitive load","high"
"p1.read.critical_media","Read and interpret digital/media claims critically","core","r002","Active Reading Strategies — OWL Purdue","article","1","critical_reading","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","critical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p1.read.critical_media","Read and interpret digital/media claims critically","core","r001","How to Read Academic Texts Strategically","video","1","critical_reading","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","critical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p1.read.critical_media","Read and interpret digital/media claims critically","core","r003","Critical Reading vs. Passive Reading","article","1","critical_reading","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","critical judgement|self-management","moderate scaffold / standard cognitive load","medium"
"p1.read.critical_media","Read and interpret digital/media claims critically","advanced","r002","Active Reading Strategies — OWL Purdue","article","1","critical_reading","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","critical judgement|self-management","low scaffold / high cognitive load","high"
"p1.read.critical_media","Read and interpret digital/media claims critically","advanced","r001","How to Read Academic Texts Strategically","video","1","critical_reading","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","critical judgement|self-management","low scaffold / high cognitive load","high"
"p1.read.critical_media","Read and interpret digital/media claims critically","advanced","r003","Critical Reading vs. Passive Reading","article","1","critical_reading","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","critical judgement|self-management","low scaffold / high cognitive load","high"
"p1.write.policy_brief","Write evidence-based policy recommendation","supported","r016","Academic Writing — General Style Principles","article","1","academic_tone|argument_structure","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|adaptability","high scaffold / moderate cognitive load","high"
"p1.write.policy_brief","Write evidence-based policy recommendation","supported","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","1","academic_tone","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|adaptability","high scaffold / moderate cognitive load","high"
"p1.write.policy_brief","Write evidence-based policy recommendation","supported","r015","Formal vs Informal Language in Academic Writing","article","1","academic_tone","Use guided worksheet, glossary support, and model paragraph before independent attempt.","120-180 word structured response + checklist self-check","communication|adaptability","high scaffold / moderate cognitive load","high"
"p1.write.policy_brief","Write evidence-based policy recommendation","core","r016","Academic Writing — General Style Principles","article","1","academic_tone|argument_structure","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|adaptability","moderate scaffold / standard cognitive load","medium"
"p1.write.policy_brief","Write evidence-based policy recommendation","core","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","1","academic_tone","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|adaptability","moderate scaffold / standard cognitive load","medium"
"p1.write.policy_brief","Write evidence-based policy recommendation","core","r015","Formal vs Informal Language in Academic Writing","article","1","academic_tone","Use standard prompt with one extension question and light structure prompts.","180-280 word analytical response with one cited source","communication|adaptability","moderate scaffold / standard cognitive load","medium"
"p1.write.policy_brief","Write evidence-based policy recommendation","advanced","r016","Academic Writing — General Style Principles","article","1","academic_tone|argument_structure","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|adaptability","low scaffold / high cognitive load","high"
"p1.write.policy_brief","Write evidence-based policy recommendation","advanced","r013","Academic Writing Style — Manchester Academic Phrasebank (PDF)","pdf","1","academic_tone","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|adaptability","low scaffold / high cognitive load","high"
"p1.write.policy_brief","Write evidence-based policy recommendation","advanced","r015","Formal vs Informal Language in Academic Writing","article","1","academic_tone","Add second source/chapter, counter-position requirement, and transfer application.","280-400 word synthesis with counter-argument and two cited sources","communication|adaptability","low scaffold / high cognitive load","high"
