phase,cluster,objective_id,objective_description,pathway_level,min_required_count,current_count,gap,priority,owner,status,next_review_date,notes
Phase 1,Units 1-3 + A1,p1.read.critical_media,Read and interpret digital/media claims critically,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 1,Units 1-3 + A1,p1.read.critical_media,Read and interpret digital/media claims critically,core,3,4,0,high,lecturer-team,in-progress,,computed from seed resources (phase 1 + skill-match)
Phase 1,Units 1-3 + A1,p1.read.critical_media,Read and interpret digital/media claims critically,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 1,Units 1-3 + A1,p1.write.policy_brief,Write evidence-based policy recommendation,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 1,Units 1-3 + A1,p1.write.policy_brief,Write evidence-based policy recommendation,core,3,3,0,high,lecturer-team,in-progress,,computed from seed resources (phase 1 + skill-match)
Phase 1,Units 1-3 + A1,p1.write.policy_brief,Write evidence-based policy recommendation,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 2,Units 4-9 + A2-A3,p2.source_eval.verify,Verify source quality using SIFT/lateral reading,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 2,Units 4-9 + A2-A3,p2.source_eval.verify,Verify source quality using SIFT/lateral reading,core,3,14,0,high,lecturer-team,in-progress,,computed from seed resources (phase 2 + skill-match)
Phase 2,Units 4-9 + A2-A3,p2.source_eval.verify,Verify source quality using SIFT/lateral reading,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 2,Units 4-9 + A2-A3,p2.write.claim_verdict,Write claim verdict and methodological note,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 2,Units 4-9 + A2-A3,p2.write.claim_verdict,Write claim verdict and methodological note,core,3,14,0,high,lecturer-team,in-progress,,computed from seed resources (phase 2 + skill-match)
Phase 2,Units 4-9 + A2-A3,p2.write.claim_verdict,Write claim verdict and methodological note,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 3,Units 10-15 + A4-A5,p3.read.deep_academic,Deep strategic reading of scholarly texts,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 3,Units 10-15 + A4-A5,p3.read.deep_academic,Deep strategic reading of scholarly texts,core,3,6,0,high,lecturer-team,in-progress,,computed from seed resources (phase 3 + skill-match)
Phase 3,Units 10-15 + A4-A5,p3.read.deep_academic,Deep strategic reading of scholarly texts,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 3,Units 10-15 + A4-A5,p3.write.argument_synthesis,Integrate evidence into coherent argument and genre,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 3,Units 10-15 + A4-A5,p3.write.argument_synthesis,Integrate evidence into coherent argument and genre,core,3,12,0,high,lecturer-team,in-progress,,computed from seed resources (phase 3 + skill-match)
Phase 3,Units 10-15 + A4-A5,p3.write.argument_synthesis,Integrate evidence into coherent argument and genre,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 4,Units 16-18 + A6,p4.ai.integrity,Use AI tools with verification and integrity,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 4,Units 16-18 + A6,p4.ai.integrity,Use AI tools with verification and integrity,core,3,11,0,high,lecturer-team,in-progress,,computed from seed resources (phase 4 + skill-match)
Phase 4,Units 16-18 + A6,p4.ai.integrity,Use AI tools with verification and integrity,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 4,Units 16-18 + A6,p4.write.ethics_synthesis,Write position/rebuttal/synthesis recommendation,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 4,Units 16-18 + A6,p4.write.ethics_synthesis,Write position/rebuttal/synthesis recommendation,core,3,13,0,high,lecturer-team,in-progress,,computed from seed resources (phase 4 + skill-match)
Phase 4,Units 16-18 + A6,p4.write.ethics_synthesis,Write position/rebuttal/synthesis recommendation,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 5,Units 19-20,p5.read.litreview,Read and map literature for synthesis,supported,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 5,Units 19-20,p5.read.litreview,Read and map literature for synthesis,core,3,7,0,high,lecturer-team,in-progress,,computed from seed resources (phase 5 + skill-match)
Phase 5,Units 19-20,p5.read.litreview,Read and map literature for synthesis,advanced,3,0,3,high,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 5,Units 19-20,p5.write.identity_reflection,Write reflective scholarly identity and lifelong plan,supported,3,0,3,medium,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
Phase 5,Units 19-20,p5.write.identity_reflection,Write reflective scholarly identity and lifelong plan,core,3,1,2,medium,lecturer-team,in-progress,,computed from seed resources (phase 5 + skill-match)
Phase 5,Units 19-20,p5.write.identity_reflection,Write reflective scholarly identity and lifelong plan,advanced,3,0,3,medium,lecturer-team,not-started,,no pathway tags yet; treat as gap until differentiated resources are tagged
